Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M1_01.jpg,6.30E+03,1.32E+02,3.71E+01,3.90E+01,2.55E+02,3.84E+02,8.29E+05,1.30E+02,1.00E+02,3.12E+06
15-12a_SD_M1_01.jpg,7.07E+01,7.71E+01,2.18E+01,4.30E+01,2.55E+02,3.16E+01,5.45E+03,7.50E+01,1.00E+02,2.05E+04
15-12a_SD_M1_01.jpg,7.89E+01,8.79E+01,2.50E+01,5.00E+01,1.70E+02,3.40E+01,6.94E+03,8.20E+01,1.00E+02,2.61E+04
15-12a_SD_M1_01.jpg,6.66E+03,1.30E+02,3.65E+01,3.30E+01,2.55E+02,4.07E+02,8.62E+05,1.28E+02,1.00E+02,3.25E+06
15-12a_SD_M1_01.jpg,9.19E+01,9.25E+01,2.61E+01,4.70E+01,2.55E+02,3.48E+01,8.51E+03,8.80E+01,1.00E+02,3.20E+04
15-12a_SD_M1_01.jpg,4.84E+01,8.79E+01,2.33E+01,5.10E+01,1.71E+02,2.67E+01,4.25E+03,8.50E+01,1.00E+02,1.60E+04
15-12a_SD_M1_01.jpg,5.85E+01,8.09E+01,1.78E+01,4.20E+01,1.34E+02,2.83E+01,4.73E+03,7.70E+01,1.00E+02,1.78E+04
15-12a_SD_M1_01.jpg,9.99E+01,8.79E+01,2.07E+01,4.60E+01,1.46E+02,3.64E+01,8.79E+03,8.60E+01,1.00E+02,3.31E+04
15-12a_SD_M1_01.jpg,9.19E+01,8.52E+01,3.42E+01,4.30E+01,2.55E+02,3.48E+01,7.84E+03,7.70E+01,1.00E+02,2.95E+04
15-12a_SD_M1_01.jpg,6.84E+03,1.15E+02,3.03E+01,3.40E+01,2.55E+02,4.06E+02,7.86E+05,1.13E+02,1.00E+02,2.96E+06
15-12a_SD_M1_01.jpg,7.12E+01,8.38E+01,1.31E+01,6.10E+01,1.33E+02,3.00E+01,5.96E+03,8.10E+01,1.00E+02,2.25E+04
15-12a_SD_M1_01.jpg,9.94E+03,1.34E+02,4.61E+01,3.10E+01,2.55E+02,4.97E+02,1.33E+06,1.24E+02,1.00E+02,5.01E+06
15-12a_SD_M1_01.jpg,9.46E+01,7.51E+01,2.86E+01,3.10E+01,2.40E+02,3.48E+01,7.10E+03,6.70E+01,1.00E+02,2.67E+04
15-12a_SD_M1_01.jpg,9.03E+01,9.98E+01,4.72E+01,5.20E+01,2.55E+02,3.40E+01,9.02E+03,8.80E+01,1.00E+02,3.39E+04
15-12a_SD_M1_01.jpg,4.57E+01,9.76E+01,2.98E+01,4.90E+01,2.55E+02,2.43E+01,4.46E+03,9.10E+01,1.00E+02,1.68E+04
15-12a_SD_M1_01.jpg,9.73E+01,8.84E+01,2.85E+01,4.50E+01,2.55E+02,3.48E+01,8.59E+03,8.50E+01,1.00E+02,3.24E+04
Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M1_08.tif,5.91E+03,1.27E+02,3.13E+01,3.80E+01,2.55E+02,3.46E+02,7.52E+05,1.25E+02,0.00E+00,2.83E+06
15-12a_SD_M1_08.tif,5.95E+01,9.82E+01,1.97E+01,5.90E+01,1.69E+02,2.75E+01,5.84E+03,9.70E+01,0.00E+00,2.20E+04
15-12a_SD_M1_08.tif,5.05E+01,1.11E+02,2.33E+01,6.00E+01,1.65E+02,2.51E+01,5.60E+03,1.08E+02,0.00E+00,2.11E+04
15-12a_SD_M1_08.tif,4.92E+03,1.29E+02,3.55E+01,3.40E+01,2.55E+02,3.24E+02,6.33E+05,1.24E+02,0.00E+00,2.38E+06
15-12a_SD_M1_08.tif,9.67E+01,1.03E+02,3.60E+01,5.00E+01,2.55E+02,3.48E+01,9.92E+03,9.70E+01,0.00E+00,3.73E+04
15-12a_SD_M1_08.tif,4.59E+03,1.22E+02,3.28E+01,3.20E+01,2.55E+02,2.89E+02,5.58E+05,1.19E+02,0.00E+00,2.10E+06
15-12a_SD_M1_08.tif,7.25E+01,1.02E+02,4.00E+01,4.60E+01,2.55E+02,3.08E+01,7.37E+03,9.40E+01,0.00E+00,2.77E+04
15-12a_SD_M1_08.tif,3.48E+05,1.48E+02,4.65E+01,1.90E+01,2.55E+02,4.61E+03,5.17E+07,1.44E+02,0.00E+00,1.94E+08
15-12a_SD_M1_08.tif,6.26E+03,1.28E+02,3.17E+01,3.50E+01,2.55E+02,3.77E+02,8.00E+05,1.25E+02,0.00E+00,3.01E+06
15-12a_SD_M1_08.tif,5.23E+01,1.08E+02,2.76E+01,5.50E+01,1.78E+02,2.75E+01,5.64E+03,1.04E+02,0.00E+00,2.12E+04
15-12a_SD_M1_08.tif,4.25E+01,9.39E+01,2.62E+01,5.40E+01,1.62E+02,2.43E+01,3.99E+03,9.00E+01,0.00E+00,1.50E+04
15-12a_SD_M1_08.tif,6.09E+03,1.26E+02,3.01E+01,3.60E+01,2.55E+02,3.91E+02,7.65E+05,1.24E+02,0.00E+00,2.88E+06
15-12a_SD_M1_08.tif,6.56E+01,1.00E+02,3.91E+01,5.40E+01,2.55E+02,2.92E+01,6.59E+03,9.10E+01,0.00E+00,2.48E+04
15-12a_SD_M1_08.tif,7.55E+01,1.05E+02,2.32E+01,5.60E+01,1.65E+02,3.16E+01,7.92E+03,1.03E+02,0.00E+00,2.98E+04
15-12a_SD_M1_08.tif,1.05E+02,1.08E+02,2.67E+01,5.10E+01,1.72E+02,3.64E+01,1.13E+04,1.05E+02,0.00E+00,4.26E+04
15-12a_SD_M1_08.tif,4.91E+03,1.27E+02,3.21E+01,3.20E+01,2.55E+02,3.80E+02,6.21E+05,1.24E+02,0.00E+00,2.34E+06
15-12a_SD_M1_08.tif,3.78E+03,1.24E+02,3.22E+01,3.80E+01,2.55E+02,2.89E+02,4.68E+05,1.22E+02,0.00E+00,1.76E+06
15-12a_SD_M1_08.tif,9.03E+01,1.05E+02,3.64E+01,4.90E+01,2.55E+02,3.48E+01,9.51E+03,9.90E+01,0.00E+00,3.58E+04
15-12a_SD_M1_08.tif,1.11E+02,1.08E+02,4.20E+01,4.60E+01,2.55E+02,3.73E+01,1.19E+04,1.00E+02,0.00E+00,4.50E+04
15-12a_SD_M1_08.tif,3.48E+03,1.24E+02,3.66E+01,3.70E+01,2.55E+02,2.86E+02,4.31E+05,1.20E+02,0.00E+00,1.62E+06
15-12a_SD_M1_08.tif,5.50E+01,8.20E+01,3.74E+01,4.30E+01,2.55E+02,2.59E+01,4.51E+03,7.00E+01,0.00E+00,1.70E+04
15-12a_SD_M1_08.tif,6.75E+01,1.08E+02,4.93E+01,4.80E+01,2.41E+02,3.00E+01,7.28E+03,9.60E+01,0.00E+00,2.74E+04
15-12a_SD_M1_08.tif,6.70E+01,1.03E+02,3.93E+01,5.00E+01,2.55E+02,3.08E+01,6.90E+03,9.50E+01,0.00E+00,2.60E+04
15-12a_SD_M1_08.tif,9.06E+01,9.85E+01,2.24E+01,5.60E+01,1.62E+02,3.40E+01,8.93E+03,9.40E+01,0.00E+00,3.36E+04
15-12a_SD_M1_08.tif,5.28E+03,1.20E+02,3.02E+01,3.50E+01,2.55E+02,3.49E+02,6.32E+05,1.18E+02,0.00E+00,2.38E+06
15-12a_SD_M1_08.tif,5.95E+01,8.16E+01,2.42E+01,3.80E+01,1.51E+02,2.75E+01,4.86E+03,7.90E+01,0.00E+00,1.83E+04
15-12a_SD_M1_08.tif,5.31E+01,1.02E+02,2.04E+01,5.30E+01,1.52E+02,2.67E+01,5.40E+03,1.04E+02,0.00E+00,2.03E+04
15-12a_SD_M1_08.tif,7.97E+01,8.87E+01,3.04E+01,4.10E+01,1.89E+02,3.16E+01,7.07E+03,8.30E+01,0.00E+00,2.66E+04
15-12a_SD_M1_08.tif,7.97E+01,1.21E+02,7.44E+01,4.10E+01,2.55E+02,3.16E+01,9.68E+03,9.50E+01,0.00E+00,3.64E+04
15-12a_SD_M1_08.tif,4.67E+03,1.24E+02,3.33E+01,3.70E+01,2.55E+02,3.54E+02,5.76E+05,1.21E+02,0.00E+00,2.17E+06
15-12a_SD_M1_08.tif,5.05E+01,8.45E+01,2.29E+01,4.10E+01,1.47E+02,2.51E+01,4.27E+03,8.20E+01,0.00E+00,1.61E+04
15-12a_SD_M1_08.tif,7.12E+01,8.64E+01,4.68E+01,3.70E+01,2.55E+02,3.00E+01,6.15E+03,7.60E+01,0.00E+00,2.32E+04
15-12a_SD_M1_08.tif,5.85E+01,9.53E+01,3.68E+01,4.80E+01,2.55E+02,2.83E+01,5.57E+03,8.90E+01,0.00E+00,2.10E+04
15-12a_SD_M1_08.tif,5.05E+03,1.28E+02,2.91E+01,4.00E+01,2.55E+02,3.21E+02,6.47E+05,1.27E+02,0.00E+00,2.43E+06
15-12a_SD_M1_08.tif,7.12E+01,1.18E+02,3.07E+01,7.00E+01,1.99E+02,3.00E+01,8.39E+03,1.09E+02,0.00E+00,3.16E+04
15-12a_SD_M1_08.tif,8.56E+01,1.10E+02,2.64E+01,5.90E+01,2.55E+02,3.48E+01,9.45E+03,1.08E+02,0.00E+00,3.56E+04
15-12a_SD_M1_08.tif,1.06E+02,1.08E+02,2.93E+01,5.20E+01,2.55E+02,3.64E+01,1.14E+04,1.03E+02,0.00E+00,4.29E+04
15-12a_SD_M1_08.tif,6.70E+01,1.11E+02,3.97E+01,4.90E+01,2.55E+02,3.08E+01,7.40E+03,1.05E+02,0.00E+00,2.78E+04
15-12a_SD_M1_08.tif,1.44E+02,1.22E+02,3.61E+01,5.10E+01,2.55E+02,4.53E+01,1.75E+04,1.22E+02,0.00E+00,6.59E+04
Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M1_09.tif,6.66E+03,1.26E+02,3.56E+01,2.60E+01,2.55E+02,4.14E+02,8.42E+05,1.24E+02,0.00E+00,3.17E+06
15-12a_SD_M1_09.tif,4.25E+01,8.15E+01,1.61E+01,4.40E+01,1.22E+02,2.35E+01,3.46E+03,8.20E+01,0.00E+00,1.30E+04
15-12a_SD_M1_09.tif,5.05E+01,9.91E+01,2.71E+01,4.90E+01,1.66E+02,2.51E+01,5.00E+03,9.40E+01,0.00E+00,1.88E+04
15-12a_SD_M1_09.tif,6.06E+01,8.75E+01,1.43E+01,5.30E+01,1.43E+02,2.75E+01,5.30E+03,8.60E+01,0.00E+00,2.00E+04
15-12a_SD_M1_09.tif,7.66E+03,1.15E+02,3.00E+01,3.20E+01,2.55E+02,4.70E+02,8.78E+05,1.12E+02,0.00E+00,3.30E+06
15-12a_SD_M1_09.tif,6.22E+01,7.80E+01,1.66E+01,5.20E+01,1.16E+02,2.83E+01,4.85E+03,7.20E+01,0.00E+00,1.83E+04
15-12a_SD_M1_09.tif,6.27E+01,8.33E+01,2.97E+01,4.30E+01,2.04E+02,2.83E+01,5.22E+03,7.60E+01,0.00E+00,1.97E+04
15-12a_SD_M1_09.tif,7.65E+01,9.09E+01,2.46E+01,4.90E+01,1.71E+02,3.08E+01,6.96E+03,8.80E+01,0.00E+00,2.62E+04
15-12a_SD_M1_09.tif,6.15E+03,1.21E+02,3.36E+01,3.40E+01,2.55E+02,3.69E+02,7.46E+05,1.18E+02,0.00E+00,2.81E+06
15-12a_SD_M1_09.tif,7.92E+01,9.65E+01,2.42E+01,4.60E+01,2.43E+02,3.16E+01,7.64E+03,9.50E+01,0.00E+00,2.88E+04
15-12a_SD_M1_09.tif,6.32E+01,9.71E+01,2.04E+01,5.50E+01,1.66E+02,2.83E+01,6.14E+03,9.60E+01,0.00E+00,2.31E+04
15-12a_SD_M1_09.tif,5.98E+01,8.56E+01,2.31E+01,4.70E+01,1.41E+02,2.75E+01,5.11E+03,8.00E+01,0.00E+00,1.93E+04
15-12a_SD_M1_09.tif,6.72E+03,1.21E+02,3.29E+01,3.40E+01,2.55E+02,4.20E+02,8.11E+05,1.17E+02,0.00E+00,3.05E+06
15-12a_SD_M1_09.tif,5.95E+01,9.28E+01,3.51E+01,3.40E+01,2.55E+02,2.75E+01,5.52E+03,9.20E+01,0.00E+00,2.08E+04
15-12a_SD_M1_09.tif,7.65E+01,1.04E+02,2.53E+01,5.20E+01,1.75E+02,3.08E+01,7.92E+03,1.03E+02,0.00E+00,2.98E+04
15-12a_SD_M1_09.tif,4.68E+01,9.72E+01,4.06E+01,3.50E+01,2.55E+02,2.43E+01,4.55E+03,9.20E+01,0.00E+00,1.71E+04
15-12a_SD_M1_09.tif,6.48E+01,9.41E+01,2.09E+01,5.40E+01,1.52E+02,2.92E+01,6.10E+03,9.20E+01,0.00E+00,2.30E+04
15-12a_SD_M1_09.tif,1.01E+02,1.26E+02,2.89E+01,6.70E+01,1.99E+02,3.56E+01,1.27E+04,1.31E+02,0.00E+00,4.80E+04
15-12a_SD_M1_09.tif,1.25E+02,9.34E+01,2.52E+01,4.50E+01,1.59E+02,3.97E+01,1.17E+04,9.30E+01,0.00E+00,4.41E+04
15-12a_SD_M1_09.tif,6.15E+03,1.22E+02,3.24E+01,3.10E+01,2.55E+02,3.77E+02,7.52E+05,1.19E+02,0.00E+00,2.83E+06
Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M2_01.tif,8.17E+03,1.22E+02,3.05E+01,3.30E+01,2.55E+02,4.20E+02,9.97E+05,1.22E+02,0.00E+00,3.75E+06
15-12a_SD_M2_01.tif,6.80E+01,8.80E+01,3.53E+01,4.30E+01,2.55E+02,3.64E+01,5.98E+03,8.00E+01,0.00E+00,2.25E+04
15-12a_SD_M2_01.tif,7.12E+01,8.49E+01,3.52E+01,3.60E+01,2.55E+02,3.00E+01,6.04E+03,8.00E+01,0.00E+00,2.27E+04
15-12a_SD_M2_01.tif,7.47E+03,1.30E+02,3.48E+01,3.10E+01,2.55E+02,4.33E+02,9.70E+05,1.28E+02,0.00E+00,3.65E+06
15-12a_SD_M2_01.tif,1.25E+02,8.35E+01,4.11E+01,3.40E+01,2.55E+02,4.05E+01,1.04E+04,7.00E+01,0.00E+00,3.91E+04
15-12a_SD_M2_01.tif,3.48E+05,1.55E+02,4.90E+01,1.90E+01,2.55E+02,4.61E+03,5.41E+07,1.53E+02,0.00E+00,2.04E+08
15-12a_SD_M2_01.tif,4.17E+03,1.17E+02,2.96E+01,3.20E+01,2.55E+02,2.80E+02,4.88E+05,1.16E+02,0.00E+00,1.84E+06
15-12a_SD_M2_01.tif,8.25E+03,1.20E+02,2.99E+01,3.30E+01,2.55E+02,4.72E+02,9.92E+05,1.19E+02,0.00E+00,3.74E+06
15-12a_SD_M2_01.tif,5.98E+01,9.55E+01,3.05E+01,5.00E+01,1.82E+02,2.75E+01,5.71E+03,8.70E+01,0.00E+00,2.15E+04
15-12a_SD_M2_01.tif,1.88E+02,7.86E+01,2.19E+01,4.20E+01,1.58E+02,5.02E+01,1.48E+04,7.40E+01,0.00E+00,5.57E+04
15-12a_SD_M2_01.tif,6.67E+03,1.24E+02,2.90E+01,3.60E+01,2.55E+02,3.99E+02,8.29E+05,1.23E+02,0.00E+00,3.12E+06
15-12a_SD_M2_01.tif,5.41E+03,1.29E+02,2.94E+01,4.00E+01,2.55E+02,3.43E+02,6.97E+05,1.27E+02,0.00E+00,2.62E+06
15-12a_SD_M2_01.tif,4.28E+01,9.29E+01,1.80E+01,6.10E+01,1.71E+02,2.43E+01,3.98E+03,8.80E+01,0.00E+00,1.50E+04
15-12a_SD_M2_01.tif,5.36E+03,1.27E+02,2.90E+01,3.90E+01,2.55E+02,3.42E+02,6.79E+05,1.26E+02,0.00E+00,2.55E+06
15-12a_SD_M2_01.tif,8.40E+01,8.54E+01,2.60E+01,4.50E+01,1.75E+02,3.24E+01,7.17E+03,7.80E+01,0.00E+00,2.70E+04
15-12a_SD_M2_01.tif,1.20E+02,1.05E+02,4.48E+01,4.50E+01,2.55E+02,3.89E+01,1.26E+04,9.40E+01,0.00E+00,4.73E+04
15-12a_SD_M2_01.tif,7.65E+01,1.09E+02,4.82E+01,5.00E+01,2.55E+02,3.08E+01,8.31E+03,9.40E+01,0.00E+00,3.13E+04
15-12a_SD_M2_01.tif,6.88E+03,1.28E+02,2.94E+01,4.60E+01,2.51E+02,3.99E+02,8.82E+05,1.27E+02,0.00E+00,3.32E+06
15-12a_SD_M2_01.tif,9.41E+01,1.07E+02,3.23E+01,5.70E+01,2.55E+02,3.64E+01,1.00E+04,1.02E+02,0.00E+00,3.78E+04
15-12a_SD_M2_01.tif,5.52E+03,1.30E+02,2.78E+01,4.70E+01,2.50E+02,3.40E+02,7.16E+05,1.29E+02,0.00E+00,2.69E+06
15-12a_SD_M2_01.tif,7.55E+01,1.13E+02,3.66E+01,6.30E+01,2.55E+02,3.16E+01,8.52E+03,1.05E+02,0.00E+00,3.21E+04
Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M2_04.tif,7.10E+03,1.25E+02,3.29E+01,3.10E+01,2.55E+02,3.68E+02,8.84E+05,1.23E+02,0.00E+00,3.33E+06
15-12a_SD_M2_04.tif,5.10E+01,1.01E+02,4.65E+01,4.60E+01,2.55E+02,2.59E+01,5.16E+03,8.90E+01,0.00E+00,1.94E+04
15-12a_SD_M2_04.tif,9.06E+01,9.04E+01,2.99E+01,4.10E+01,1.89E+02,3.40E+01,8.19E+03,8.40E+01,0.00E+00,3.08E+04
15-12a_SD_M2_04.tif,5.99E+03,1.29E+02,3.17E+01,3.40E+01,2.55E+02,3.78E+02,7.72E+05,1.27E+02,0.00E+00,2.91E+06
15-12a_SD_M2_04.tif,6.13E+03,1.12E+02,2.84E+01,3.80E+01,2.55E+02,3.35E+02,6.88E+05,1.11E+02,0.00E+00,2.59E+06
15-12a_SD_M2_04.tif,5.77E+01,8.51E+01,2.74E+01,3.80E+01,1.54E+02,2.75E+01,4.91E+03,8.40E+01,0.00E+00,1.85E+04
15-12a_SD_M2_04.tif,7.52E+03,1.20E+02,2.75E+01,3.40E+01,2.55E+02,4.76E+02,9.03E+05,1.20E+02,0.00E+00,3.40E+06
15-12a_SD_M2_04.tif,1.06E+02,1.04E+02,3.71E+01,4.10E+01,2.55E+02,3.73E+01,1.11E+04,9.20E+01,0.00E+00,4.16E+04
15-12a_SD_M2_04.tif,7.38E+03,1.22E+02,3.18E+01,3.10E+01,2.55E+02,3.78E+02,9.03E+05,1.23E+02,0.00E+00,3.40E+06
15-12a_SD_M2_04.tif,1.65E+02,9.84E+01,4.32E+01,3.20E+01,2.55E+02,4.62E+01,1.62E+04,8.60E+01,0.00E+00,6.10E+04
15-12a_SD_M2_04.tif,9.67E+01,1.06E+02,2.91E+01,4.40E+01,1.79E+02,3.48E+01,1.02E+04,1.07E+02,0.00E+00,3.85E+04
15-12a_SD_M2_04.tif,7.99E+03,1.29E+02,3.21E+01,3.20E+01,2.55E+02,3.91E+02,1.03E+06,1.27E+02,0.00E+00,3.87E+06
15-12a_SD_M2_04.tif,1.25E+02,1.17E+02,2.74E+01,5.10E+01,2.55E+02,3.97E+01,1.47E+04,1.17E+02,0.00E+00,5.53E+04
15-12a_SD_M2_04.tif,4.57E+01,8.89E+01,1.85E+01,5.30E+01,1.26E+02,2.43E+01,4.06E+03,8.80E+01,0.00E+00,1.53E+04
Label,Area,Mean,StdDev,Min,Max,Perim.,IntDen,Median,%Area,RawIntDen
15-12a_SD_M2_05.tif,5.69E+03,1.26E+02,3.07E+01,3.50E+01,2.45E+02,3.70E+02,7.15E+05,1.26E+02,0.00E+00,2.69E+06
15-12a_SD_M2_05.tif,9.41E+01,8.64E+01,2.45E+01,4.10E+01,1.43E+02,3.64E+01,8.13E+03,8.50E+01,0.00E+00,3.06E+04
15-12a_SD_M2_05.tif,9.67E+01,1.01E+02,2.76E+01,4.70E+01,1.74E+02,3.56E+01,9.78E+03,1.00E+02,0.00E+00,3.68E+04
15-12a_SD_M2_05.tif,6.91E+01,9.19E+01,2.33E+01,4.60E+01,1.48E+02,3.08E+01,6.35E+03,8.90E+01,0.00E+00,2.39E+04
15-12a_SD_M2_05.tif,5.50E+03,1.25E+02,2.98E+01,3.00E+01,2.55E+02,3.44E+02,6.89E+05,1.25E+02,0.00E+00,2.59E+06
15-12a_SD_M2_05.tif,5.45E+03,1.17E+02,2.67E+01,3.80E+01,2.55E+02,3.36E+02,6.39E+05,1.17E+02,0.00E+00,2.41E+06
15-12a_SD_M2_05.tif,5.50E+01,9.46E+01,3.10E+01,4.80E+01,1.82E+02,2.59E+01,5.20E+03,9.10E+01,0.00E+00,1.96E+04
15-12a_SD_M2_05.tif,5.10E+01,9.07E+01,2.66E+01,5.10E+01,1.97E+02,2.59E+01,4.63E+03,8.60E+01,0.00E+00,1.74E+04
15-12a_SD_M2_05.tif,6.94E+03,1.21E+02,2.96E+01,3.50E+01,2.55E+02,3.68E+02,8.38E+05,1.20E+02,0.00E+00,3.16E+06
15-12a_SD_M2_05.tif,6.27E+01,9.11E+01,4.32E+01,4.20E+01,2.55E+02,2.83E+01,5.71E+03,8.10E+01,0.00E+00,2.15E+04
15-12a_SD_M2_05.tif,7.59E+03,1.30E+02,2.98E+01,3.90E+01,2.55E+02,4.57E+02,9.87E+05,1.29E+02,0.00E+00,3.71E+06
15-12a_SD_M2_05.tif,6.84E+03,1.36E+02,3.30E+01,3.90E+01,2.55E+02,3.96E+02,9.28E+05,1.34E+02,0.00E+00,3.49E+06
15-12a_SD_M2_05.tif,5.74E+01,8.07E+01,2.19E+01,4.20E+01,1.54E+02,2.67E+01,4.63E+03,7.40E+01,0.00E+00,1.74E+04
15-12a_SD_M2_05.tif,4.57E+01,8.44E+01,2.73E+01,4.90E+01,1.68E+02,2.51E+01,3.86E+03,7.40E+01,0.00E+00,1.45E+04
